follower,followed,favcount,defaultimage,lengthUserName,lengthDescName,ratioFollowerFollowed,getReputation,AgeOfAccount,FollowingRate,CountOfTweets,NumberOfTPerDay,AvgLinkCount,AvgRTCount,AvgHTCount,AvgFavCount,AvgDDifference,AvgNOfChars,AvgNOfWords,AvgNOfCapitalization,AvgNOfQuestionMark,AvgNOfExclamationMark,AvgNOfDotMark,AvgMaxWordLength,AvgNOfWhiteSpaces,AvgMeanWordLength,Type
732030,10109,94190,false,12,137,72.0,0.986379,78115,9.371183511489471,29081,8.937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Human
13827,767,33613,false,11,159,18.0,0.947444,57831,0.23909321989936194,41769,17.3387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Human
6583436,7904,16018,false,12,100,832.0,0.998801,68988,95.42871223980983,75827,26.3838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Human
1809,340,11626,false,1,27,5.0,0.841787,54562,0.03315494300062315,28034,12.3335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Human
1609,1972,168,false,9,158,0.0,0.449316,56853,0.02830105711220164,44033,18.595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Human
4626,5046,100,false,6,41,0.0,0.478288,47237,0.0979317060778627,9660,4.90854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Human
1580,4954,960,false,18,76,0.0,0.241812,69686,0.022673133771489253,213793,73.6455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Human
2578,2953,715,false,13,73,0.0,0.4661,49060,0.05254790052996331,2070,1.01272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Human
200,339,1205,false,12,35,0.0,0.371058,46453,0.004305426990721805,6588,3.40465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Human
1056,865,19841,false,6,67,1.0,0.549714,26868,0.03930326038410004,30210,26.9973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Human
817,284,3548,false,15,116,2.0,0.742053,67869,0.012037896535973714,8186,2.89565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Human
774,1895,0,false,14,0,0.0,0.289996,52535,0.01473303511944418,9937,4.54159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Human
112,371,155,false,16,0,0.0,0.231884,71043,0.0015765100009853187,1456,0.491892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Human
9307,8714,1221,false,11,159,1.0,0.516453,53564,0.17375476066014486,125837,56.4039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Human
294196,951,1328,false,12,71,309.0,0.996778,69998,4.202920083430955,14657,5.02641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Human
1150038,595,3933,false,13,30,1932.0,0.999483,70038,16.420200462606015,5606,1.92118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Human
10,13,0,true,14,7,0.0,0.434783,28190,3.54735721887194E-4,2840,2.41908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Human
27070,268,201,false,14,144,101.0,0.990197,55013,0.4920655117881228,2383,1.0397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Human
310,389,411,false,12,148,0.0,0.443491,57982,0.005346486840743679,12751,5.27992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Human
1568,769,6775,false,13,109,2.0,0.670946,51550,0.030417070805043647,44968,20.9446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Human
470,1816,5152,false,10,95,0.0,0.205599,54722,0.008588867365958847,6543,2.86974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Human
8798,8471,17058,false,15,110,1.0,0.509468,31193,0.28205046003911133,21944,16.893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Human
569,649,4039,false,5,120,0.0,0.467159,47612,0.011950768713769638,23346,11.7731,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Human
148,108,6764,false,7,0,1.0,0.578125,39048,0.00379020692481049,7753,4.76521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Human
34942162,167,76,false,12,66,209234.0,0.999995,71469,488.91354293469897,5332,1.79106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Human
