@relation 808100

@attribute follower numeric
@attribute followed numeric
@attribute favcount numeric
@attribute defaultimage {false,true}
@attribute lengthUserName numeric
@attribute lengthDescName numeric
@attribute ratioFollowerFollowed numeric
@attribute getReputation numeric
@attribute AgeOfAccount numeric
@attribute FollowingRate numeric
@attribute CountOfTweets numeric
@attribute NumberOfTPerDay numeric
@attribute AvgLinkCount numeric
@attribute AvgRTCount numeric
@attribute AvgHTCount numeric
@attribute AvgFavCount numeric
@attribute AvgDDifference numeric
@attribute AvgNOfChars numeric
@attribute AvgNOfWords numeric
@attribute AvgNOfCapitalization numeric
@attribute AvgNOfQuestionMark numeric
@attribute AvgNOfExclamationMark numeric
@attribute AvgNOfDotMark numeric
@attribute AvgMaxWordLength numeric
@attribute AvgNOfWhiteSpaces numeric
@attribute AvgMeanWordLength numeric
@attribute Type {Human,Bot}

@data
101257,1006,1013,false,14,35,100,0.990163,13123,7.715995,9050,16.5751,116.026,0.7109,957.769,0.0763,549.318,1488839940,107.735,18.9297,8.8203,0.1166,0.1556,1.5603,20.5344,6.84941,Human
651412,7104,67013,false,10,158,91,0.989212,89695,7.262523,5367,1.43618,10.0533,0.3663,2347.07,0.1989,332.887,1491600000,121.668,20.5005,10.7007,0.0638,0.1376,1.6532,18.4351,6.27523,Human
48291,392,1181,false,13,149,123,0.991948,55340,0.872624,32236,13.9852,97.8967,0.518,697.031,0.0711,29.8907,1491420030,117.162,19.7727,9.9711,0.0705,0.0429,1.5019,19.6609,6.68691,Human
8167,1593,1821,false,13,52,5,0.836783,52400,0.155859,8705,3.98763,27.9134,0.4809,60.0506,0.2226,6.2256,1472070020,96.9134,16.4797,8.8141,0.0654,0.0866,1.6242,18.7808,6.7905,Human
13161,1767,1167,false,10,112,7,0.881632,53970,0.243858,6182,2.75,19.25,0.6264,153.499,0.2379,25.2163,1456930050,99.4995,16.9894,11.2963,0.0785,0.0894,1.4248,20.3226,6.601,Human
23374,797,1574,false,19,65,29,0.967027,58719,0.398065,10890,4.45217,31.1652,0.255,555.656,0.088,13.4097,1471440000,96.7536,15.9778,6.9725,0.1334,0.1287,1.4245,15.6947,6.27864,Human
1001771,341,680,false,11,34,2937,0.99966,17955,55.793428,1039,1.38904,9.72326,0.297,1287.8,0.2748,1637.24,1462759940,78.0916,13.3443,6.9383,0.1003,0.4311,1.3443,17.5391,7.23276,Human
30811,613,2590,false,8,160,50,0.980493,49578,0.621465,13918,6.73995,47.1797,0.4635,2021.54,0.0536,22.6842,1485619970,125.434,20.9498,9.4233,0.0888,0.038,1.7229,18.899,6.36443,Human
4586003,2038,13226,false,11,55,2250,0.999556,68482,66.966546,9372,3.28496,22.9947,0.2743,287.657,0.4392,737.01,1448210050,87.4813,14.6755,7.8046,0.0748,0.5272,1.2168,18.8828,7.20498,Human
5392,1255,29480,false,16,143,4,0.811193,76235,0.070729,26132,8.22796,57.5957,0.21,197.875,0.04,7.01,1492819970,101.202,18.98,6.48,0.095,0.1,0.6175,15.385,5.45431,Human
732030,10109,94190,false,12,137,72,0.986379,78115,9.371184,29081,8.937,62.559,0.3428,1347.22,0.4248,591.063,1482860030,121.244,20.4977,12.0434,0.0379,0.2743,1.9764,18.4837,6.34744,Human
